('NW', '198004081757')
('PIE', '198005191204')
('RDU', '198102221710')
('HUB', '198012211630')
('MKK', '198101280915')
('LUL', '198102141730')
('GEG', '198102261010')
('GLH', '198102171605')
('NE', '198101211500')
('FAM', '198101101300')
('ABQ', '198102170830')
('PDT', '198101311100')
('PDX', '198102221100')
('UIM', '198103231300')
('GKN', '198103041111')
('SJC', '198103151329')
('PER', '198103191615')
('CID', '198103190700')
('ABQ', '198103220830')
('SFO', '198103290100')
('SYR', '198103292316')
('SMA', '198104081230')
('AQD', '198104150752')
('PXN', '198104171645')
('SLR', '198104170900')
('HLN', '198104231310')
('CYS', '198104271218')
('SGD', '198104270700')
('GEP', '198105021200')
('BET', '198105061900')
('HYA', '198105121035')
('NDB', '198105181200')
('BUJ', '1981052015')
('GKA', '198104111315')
('RAD', '198105080730')
('VTU', '198105032050')
('IAH', '198103221845')
('BTR', '198105190645')
('SGD', '198103111015')
('PTK', '198105061600')
('ALW', '198105030800')
('OCN', '198103111904')
('DFW', '198103031501')
('SCK', '198103261500')
('HUB', '198103091035')
('GEG', '198105111130')
('BOQ', '198102271413')
('GGG', '198103141930')
('CCR', '198105171200')
('PVF', '198105101025')
('PMD', '198104071900')
('SJC', '198105061530')
('YKM', '198103011020')
('HTM', '198107170')
('BOS', '198107251305')
('DEN', '198107071630')
('CAE', '198107081500')
('CTR', '198107081200')
('BTV', '198107090900')
('RAP', '198107171035')
('SBA', '198105261455')
('OAK', '198106041230')
('FYU', '198107191320')
('DPA', '198107191330')
('LAS', '198107251700')
('JFK', '198106212134')
('FMN', '198106101100')
('ORD', '198106091345')
('PIH', '198107201100')
('SBY', '198107072000')
('LLA', '198107291016')
('AMA', '198105281130')
('MEM', '198107111230')
('UCA', '198107091645')
('STV', '198107261310')
('TBN', '198105281145')
('LEM', '198106060600')
('LOU', '198106152045')
('EEN', '198107081600')
('GCK', '198107171800')
('PIH', '198107141130')
('GDM', '198106281800')
('PVD', '198106061700')
('AUS', '198106271750')
('FXT', '198108031330')
('VIH', '198106291800')
('ANC', '198106201810')
('FAT', '198106061325')
('MWH', '198106061805')
('ROC', '198106091600')
('CIM', '198107231230')
('BRK', '198106171920')
('ONL', '198106281600')
('ABQ', '198107251300')
('SHY', '198107240930')
('HYA', '198107161915')
('ELK', '198106201155')
('AUG', '198107081131')
('KCK', '198107311615')
('IKK', '198106081630')
('OJC', '198106141210')
('STI', '198106211430')
('FFM', '198108021700')
('MAP', '198107230900')
('SHS', '198106110135')
('OCR', '198107201620')
('PMX', '198107111930')
('MYL', '198107300740')
('BOS', '198108011215')
('HRV', '198106101020')
('PVW', '198107270830')
('MWW', '198106211030')
('FAI', '198106171300')
('LNK', '198107171850')
('SBN', '198106271448')
('SXR', '198107040805')
('CCR', '198107061230')
('UBG', '198108041240')
('MFR', '198106060930')
('GLH', '198107090830')
('DNV', '198107282125')
('ORF', '198106241852')
('FNT', '198107251800')
('FAI', '198107171300')
('GGG', '198105290800')
('RFD', '198108021700')
('GRI', '198107061410')
('MAP', '198107061500')
('FAI', '198107221930')
('IVD', '198108011415')
('GRI', '198110081400')
('PHX', '198109302145')
('GAG', '198108261130')
('OMA', '198109081550')
('MTJ', '198108101540')
('LFT', '198108141800')
('ROC', '198108141500')
('CRP', '198108201210')
('CTB', '198108250830')
('ORD', '198108231330')
('FHU', '198109011950')
('BUJ', '198109061915')
('SLC', '198109061010')
('ICT', '198109140625')
('GUC', '198109211305')
('RDU', '198109281220')
('MCM', '198109302100')
('ABQ', '198110080830')
('OSH', '198110090645')
('ACY', '198110071420')
('FOT', '198110181530')
('LAS', '198110181349')
('MOP', '198110171800')
('STL', '198110201340')
('DGW', '198110202118')
('TBD', '198110221745')
('AUP', '198110271725')
('ABQ', '198110291320')
('POM', '198110301204')
('BWG', '198110301655')
('DEN', '198108300900')
('HYA', '198108231500')
('BTR', '198109111730')
('OKW', '198109051830')
('DEN', '198108221000')
('GFS', '198109261443')
('PVD', '198110160617')
('CPR', '198109102150')
('DCA', '198110282010')
('JOT', '198108082000')
('MFD', '198109131845')
('SHR', '198108281400')
('VWV', '198109052110')
('TCC', '198110101550')
('ERI', '198110171405')
('PNC', '198108191215')
('MBW', '198109301236')
('PRC', '198109120830')
('SUG', '198110041530')
('LBF', '198108171815')
('ENA', '198109131600')
('HZN', '198109131100')
('PRX', '198109051530')
('TOP', '198109261615')
('FDY', '198110112014')
('SEE', '198108181935')
('ADW', '198109272000')
('ISO', '198108070800')
('ACO', '198110151510')
('DEN', '198110250900')
('ATL', '198109111330')
('HTM', '198109102130')
('HOU', '198110151930')
('ANC', '198108300900')
('GGW', '198110111600')
('UKN', '198108050939')
('ABR', '198108121900')
('BGR', '198110251400')
('TKA', '198109120915')
('IND', '198109121045')
('LBY', '198110271530')
('LMT', '198109171102')
('TKA', '198109111400')
('CEC', '198109201215')
('ENE', '198109061445')
('MLC', '198110181030')
('LAS', '198110241130')
('PNT', '198109221845')
('ING', '198108301145')
('DPK', '198109050945')
('HOM', '198109181330')
('PLL', '198109221555')
('VWV', '198109271245')
('CBE', '198108191730')
('HSI', '198109152300')
('DEN', '198108070730')
('LCH', '198109161700')
('MLP', '198110251045')
('ETK', '198110211630')
('PKB', '198108161045')
('HTH', '198108261555')
('DPA', '198108262345')
('ADQ', '198109011300')
('HFD', '198110281830')
('GTF', '198110280')
('ABI', '198108221400')
('ACO', '198109261800')
('GLH', '198110181545')
('LEV', '198109070803')
('TRM', '198108300445')
('PHX', '198109300200')
('ANC', '198109271300')
('MLU', '198108111230')
('ANC', '198109011500')
('IND', '198110211715')
('ADM', '198108191130')
('MCZ', '198110210100')
('DLH', '198109211000')
('IND', '198110251715')
('ACK', '198109151300')
('PSM', '198110050800')
('MRX', '198109071145')
('MCB', '198111191100')
('SPS', '198111301500')
('LOU', '198112051615')
('LOU', '198201041940')
('AGS', '198201091040')
('8Y2', '198111301250')
('LOU', '198111021851')
('MZB', '198202151815')
('ADS', '198201121700')
('TXK', '198201121510')
('HEK', '198112231257')
('TEB', '198112310515')
('IPT', '198112010810')
('PVD', '198111230810')
('PWM', '198111140930')
('MRX', '198111011600')
('GUC', '198111021400')
('DSM', '198202042033')
('STT', '198202041205')
('ARR', '198202041700')
('LQX', '198202061300')
('ABB', '198202080130')
('DEN', '198202141000')
('BET', '198202111630')
('DPA', '198202171200')
('PTK', '198202191018')
('AGS', '198202211315')
('HMV', '198202211700')
('HUB', '198202211830')
('CDC', '198201020800')
('FTZ', '198112231856')
('ELW', '198111211630')
('BGQ', '198111150715')
('STJ', '198112161610')
('EAT', '198201031100')
('CCT', '198202141030')
('OKB', '198202061745')
('FYU', '198111271145')
('ISN', '198111191824')
('IAH', '198111141730')
('RHI', '198112121810')
('MZB', '198201201230')
('FOD', '198112242325')
('FOT', '198111112030')
('LRD', '198201211753')
('POU', '198201101113')
('EDW', '198111151515')
('OSW', '198111161810')
('BET', '198201081000')
('STE', '198201301430')
('BHU', '198201021645')
('DSM', '198201181800')
('RKS', '198112101755')
('JST', '198112241847')
('DPA', '198201061700')
('FGT', '198111131515')
('BMG', '198112291400')
('BMI', '198112300813')
('AUG', '198111071100')
('VWV', '198201231731')
('VNY', '198201092000')
('PCW', '198202020815')
('PCW', '198202121415')
('ABQ', '198112092205')
('PHX', '198111071400')
('CRL', '198202031515')
('ATL', '198111171953')
('OLU', '198112231452')
('SJC', '198112301045')
('FMY', '198201301320')
('BYN', '198201131518')
('OGG', '198112261141')
('OKC', '198201010950')
('TBD', '198111160945')
('PJB', '198112311215')
('ALO', '198201311100')
('GCN', '198201311458')
('UBG', '198201131345')
('SNS', '198112161220')
('RFD', '198201221045')
('MDE', '198112211300')
('PNT', '198202142049')
('ADJ', '198112101700')
('TUS', '198112071231')
('SFO', '198112061245')
('GDM', '198201221453')
('HLN', '1982010715')
('SVM', '198201091215')
('MLB', '198202141235')
('MHT', '198202121400')
('BYI', '198201282122')
('MHT', '198112121300')
('PTK', '198202131115')
('ALW', '198111250930')
('GEP', '198201011620')
('LHY', '198111091930')
('HOU', '1981111730')
('AKO', '198201031640')
('EKR', '198111091014')
('DNV', '198112161805')
('EAT', '198112121130')
('APE', '198112301810')
('OGD', '198112310915')
('23', '198201182232')
('ACT', '198112060815')
('NBK', '198201281130')
('ANC', '198111151700')
('BAE', '198111211732')
('SRS', '198201060950')
('PDX', '198112081354')
('SXC', '198111221000')
('FCA', '198112101000')
('ISN', '198111031700')
('ABQ', '198112031820')
('EAU', '198201280910')
('MFD', '198112171753')
('DNU', '198112221925')
('CMA', '198112171917')
('BFL', '198202072011')
('RDU', '198202111945')
('ANC', '198111281057')
('HUT', '198201021635')
('RDM', '198111121541')
('SVM', '198112231500')
('MYV', '198201211640')
('BVY', '198112211200')
('OLU', '198111151210')
('HUB', '198201130820')
('PER', '198202120105')
('APE', '198201040740')
('POM', '198201100939')
('ABR', '198112051525')
('BIS', '198111280913')
('LAL', '198112151700')
('DFW', '198112101550')
('MBV', '198112111800')
('BKE', '198112181030')
('CIMS', '198201151230')
('HFD', '198201272300')
('ANC', '198112191100')
('JFN', '198112111745')
('HYA', '198201231910')
('PVD', '198112301130')
('MHT', '198201281700')
('LBL', '198202112145')
('OKK', '198201220830')
('MSN', '198201101400')
('DEN', '198112222120')
('OTG', '198112081000')
('DJB', '198112012110')
('ALS', '198201011145')
('PGA', '198201041100')
('MHT', '198112131530')
('BLD', '198111191100')
('YIP', '198201201250')
('HWO', '198111151200')
('LBB', '198202160900')
('ANC', '198111111042')
('MAF', '198201250815')
('FWA', '198201040212')
('TBD', '198111160900')
('BUO', '198201200950')
('OMA', '198202161918')
('ANC', '198202211350')
('HNL', '198202220730')
('CRL', '198201041340')
('INW', '198111271310')
('INW', '198203161430')
('BDR', '198205030700')
('EWN', '198204270710')
('LUE', '198204291600')
('SCK', '198203041700')
('SBY', '198202251515')
('BVT', '198202251030')
('BVT', '198202251230')
('SEG', '198202251615')
('DBQ', '198202281930')
('DSM', '198202281600')
('PTK', '198202281715')
('PIH', '198203091045')
('ANC', '198203101420')
('OSH', '198203131215')
('FWA', '198203162330')
('AHN', '198203161300')
('LIT', '198203161030')
('ORL', '198203211245')
('HEH', '198203241050')
('ACY', '198203261900')
('LUF', '198203271642')
('CRP', '198203312021')
('OXI', '198203311100')
('MYV', '198204042030')
('FWA', '198204052138')
('TIO', '198204271115')
('LEV', '198203241100')
('DEN', '198205271850')
('PVD', '198204101700')
('GKN', '198205081030')
('ICT', '198205301950')
('COS', '198203211300')
('EDW', '198203140920')
('LLA', '198205211300')
('SBN', '198203031445')
('IND', '198205101939')
('LWM', '198205021445')
('DEN', '198205131630')
('PXT', '198204221438')
('SHS', '198202271107')
('CIE', '198204161300')
('PKE', '198204070630')
('MZB', '198205111000')
('CGT', '198203051600')
('JOT', '198203141330')
('LRD', '198203221220')
('SWW', '198204141425')
('EDS', '198204281900')
('SAN', '198205081238')
('SVM', '1982043028')
('DPK', '198204141900')
('COD', '198206041100')
('FLG', '198206051100')
('IAG', '198203252033')
('ORD', '198204031218')
('CIC', '198204242115')
('GFL', '198203291613')
('CVA', '198204181745')
('SKF', '198204171630')
('LAA', '198203231000')
('MLI', '198204081640')
('OSI', '198205121155')
('AKL', '198204241500')
('SJC', '198203061230')
('LIT', '198203281600')
('LHX', '198204021022')
('FMN', '198204081240')
('LAS', '198203191605')
('HTM', '198204101415')
('HLC', '198204142115')
('STL', '198205310240')
('MSY', '198204111910')
('BAF', '198203111650')
('BOI', '198205030745')
('RKS', '198205281600')
('TVC', '198206021555')
('OUN', '198205150745')
('DEN', '198203261443')
('ACO', '198205022025')
('CLE', '198205201100')
('PTK', '198203222020')
('OXI', '198204081500')
('LBB', '198204111400')
('JHW', '198203041330')
('SJC', '198203061427')
('JVL', '198203031300')
('OLS', '198203160600')
('THV', '198203211830')
('ILI', '198203250935')
('DEN', '198204121450')
('LWS', '198204271830')
('SVM', '198203052200')
('SEG', '198205041145')
('LBF', '198205061810')
('HLI', '198205300745')
('RMG', '198205212345')
('ENN', '198205222330')
('SLC', '198206010905')
('ORL', '198203211205')
('MKC', '198205311700')
('DBQ', '198206050830')
('BAE1', '198206051530')
('DTO', '198205221145')
('BMG', '198204012015')
('BOS', '198205282100')
('MRB', '198205021130')
('RYV', '198205261830')
('IAD', '198204041155')
('RAP', '198206061325')
('FFU', '198203271900')
('GEE', '198208271130')
('HLI', '198207281530')
('EPH', '198208151145')
('EEN', '198208151430')
('PFN', '198208171700')
('FAY', '198208181930')
('IAH', '198208181250')
('EWC', '198208221600')
('FCM', '198208231845')
('JAN', '198208291600')
('ATL', '198207191742')
('FWA', '198208061710')
('HWD', '198208061939')
('TNV', '198207011830')
('AST', '198209021400')
('HVR', '198207051330')
('SAE', '198207251300')
('PWM', '198208111325')
('TNV', '198208061715')
('VNY', '198206202240')
('RYV', '198208141530')
('TRM', '198207030322')
('ACY', '198206151845')
('ODI', '198208031935')
('PBF', '198206081000')
('ALS', '198206241330')
('TXO', '198207221530')
('GRR', '198207211940')
('TYR', '198207281922')
('RIS', '198206081046')
('CYS', '198207061355')
('ALS', '198208251330')
('PKD', '198206131330')
('TPH', '198207212219')
('HPW', '198208062030')
('RBL', '198207021530')
('AKN', '198208291200')
('OMA', '198208292112')
('AKO', '198208271600')
('EUG', '198208070300')
('ORD', '198207221120')
('DVN', '198206121115')
('HNL', '198207230845')
('OFK', '198208261910')
('PVW', '198208241330')
('MYL', '198207041300')
('BZA', '198206081111')
('YKM', '198206301140')
('LFD', '198206302110')
('ALW', '198207141530')
('MLD', '198207150700')
('EWN', '198207051630')
('FAI', '198207111500')
('GRW', '198207260800')
('CNU', '198207020800')
('CAG', '198206160917')
('DLG', '198208232215')
('GBN', '198206271650')
('ENA', '198207092130')
('EDW', '198208211133')
('MFR', '198207190735')
('INK', '198207241230')
('DVC', '198208251345')
('LRD', '198207082000')
('DJB', '198206091005')
('JOT', '198206131600')
('ABR', '198208170655')
('AGC', '198208252210')
('MSY', '198206121315')
('SCC', '198206231200')
('MLI', '198207011900')
('MLC', '198206151620')
('OCR', '198207171215')
('ADU', '198208171145')
('SCK', '198206170930')
('CYN', '198207101545')
('HUP', '198206301500')
('PHX', '198206301245')
('PHK', '198207161400')
('BOI', '198207171530')
('GOJ', '198209020800')
('AUW', '198207150730')
('BGQ', '198208011730')
('RKS', '198208172140')
('ELA', '198207111455')
('CVG', '198206261015')
('FAY', '198208081130')
('T315', '198207121155')
('DIK', '198207180714')
('CGT', '198206171547')
('TOY', '198209021949')
('GKN', '198208191019')
('JOT', '198206170620')
('GFL', '198206071245')
('RKS', '198206291034')
('PDK', '198209012020')
