('2IL4', '200604211245')
('TRK', '200604211245')
('ILI', '200604211245')
('JFK', '200604191340')
('LIT', '200604192035')
('0FD6', '20060330800')
('1M7', '200604301600')
('TEB', '200604281300')
('DUY', '200510151600')
('29IL', '200601121730')
('35II', '200512291305')
('6NC4', '200603041130')
('81OI', '20060124847')
('LHD', '20060316900')
('AUS', '20060325930')
('OME', '200604171026')
('AKN', '200604161106')
('Z59', '200604071000')
('BET', '200603211000')
('LHD', '200605071030')
('TIP', '200604231245')
('FA44', '200604281733')
('IS47', '200604252130')
('4II8', '200605021845')
('7MN8', '200604241440')
('ILI', '200603041600')
('5AK1', '2005092315')
('BLG', '200512281600')
('AXA', '200604221314')
('IA03', '200605041510')
('5NK', '200605041510')
('4KY3', '200604121537')
('TLT', '200604111248')
('HNS', '200604071945')
('3Z9', '200603251055')
('T40', '200604151150')
('JWN', '20060121950')
('BCV', '200604191114')
('PSP', '200604231240')
('MD47', '200603091653')
('01MN', '200603101335')
('5MN5', '20060317700')
('MU41', '200603181500')
('RDU', '200603291630')
('ANP', '20060421300')
('SD83', '20060421300')
('2TX3', '20060421300')
('AQY', '20060421300')
('C45', '20060421300')
('HHR', '20060421300')
('IDA', '20051116630')
('7LA2', '20051012845')
('TEB', '200510281005')
('HWY', '20051111845')
('DE31', '200512091100')
('GRE', '200511141450')
('52B', '200511141450')
('MRI', '200510171032')
('T88', '200510211615')
('CPS', '200509291500')
('GNV', '20060306815')
('MRI', '200603251525')
('O22', '200603251525')
('6Q0', '20060331730')
('F86', '200509221200')
('4G8', '20051008800')
('ID76', '200604231820')
('GRI', '200601242023')
