('MGM', '200001011302')
('IMT', '200001021600')
('ME33', '200001021300')
('KKU', '20000106340')
('CAE', '200001052146')
('SLC', '200001161630')
('11TX', '200001112100')
('WY19', '200001082100')
('47G', '200001261510')
('PHX', '200001272227')
('CVG', '200001252120')
('C65', '200001221530')
('PYM', '200001221530')
('PMZ', '200001281500')
('1P1', '200001282100')
('K67', '20000127305')
('3MO7', '20000123900')
('4B8', '20000123900')
('MI99', '20000123900')
('MY56', '20000123900')
('NC63', '200001211530')
('D55', '200001181115')
('TKO', '200001201115')
('2IA7', '200001261330')
('F43', '20000120932')
('3DW', '20000120932')
('JY11', '20000120932')
('3IS5', '20000120932')
('CN12', '20000120932')
('3GE2', '200001311730')
('IL52', '200001261100')
('9II6', '200001261100')
('90KY', '200001261100')
('MO98', '20000119100')
('NM05', '20000120915')
('9X1', '200001311345')
('1WI1', '200001311345')
('MUT', '200001311345')
('SNS', '200001311345')
('2A0', '200001311345')
('GTF', '200001311345')
('CLL', '200001311345')
('NM65', '200001311345')
('ILI', '200001311345')
('4AZ7', '200001171056')
('SQL', '200002111435')
('Z17', '200002171221')
('4KY3', '20000214945')
('DTN', '200002181530')
('5MD9', '200002131245')
('W18', '20000202725')
('MU41', '200002142139')
('X44', '200002221735')
('DE07', '200002241845')
('NE10', '200002201600')
('T87', '200002051550')
('9NC3', '20000207603')
('8TX3', '20000207603')
('RKS', '200002081400')
('Z20', '200002141230')
('A61', '200002251630')
('85TX', '200002141600')
('L08', '200002061700')
('STS', '200002061840')
('CD04', '20000204620')
('L22', '20000204620')
('APF', '200002171100')
('CO82', '200002191445')
('PHO', '200002191330')
('TKA', '200002061215')
('X05', '200002061215')
('74LA', '200002061215')
('4N7', '200002241824')
('CO82', '200002201130')
('4SD', '200003051600')
('38MO', '200004112200')
('2D1', '200004112200')
('SD98', '200002261645')
('PXK', '200003121300')
('8OH5', '200003161630')
('T67', '200003161630')
('TLH', '20000326840')
('RNO', '20000404750')
('E38', '200004121300')
('PSP', '200004131330')
('HDI', '20000317815')
('MT46', '200003151630')
('0NK9', '20000328750')
('30F', '200004121015')
('WSN', '200003011630')
('SNH', '200003131410')
('SMU', '200003251100')
('SEE', '200003251258')
('DNV', '20000315940')
('TIW', '200003221330')
('SWD', '200004021330')
('MKG', '20000318950')
('50M', '20000328940')
('MY99', '200003251100')
('35NC', '200003271830')
('8CO0', '200002281512')
('W55', '200003041130')
('N94', '200003261200')
('7TE5', '200004022020')
('O31', '20000226216')
('3DA', '200003091953')
